country_code,iso3,year,indicator_code,value
CTY100,AFG,2010,EN.ATM.CO2E.KT,13192
CTY100,AFG,2011,EN.ATM.CO2E.KT,19604
CTY100,AFG,2012,EN.ATM.CO2E.KT,41252
CTY100,AFG,2013,EN.ATM.CO2E.KT,41892
CTY100,AFG,2014,EN.ATM.CO2E.KT,28904
CTY100,AFG,2015,EN.ATM.CO2E.KT,21216
CTY100,AFG,2016,EN.ATM.CO2E.KT,32793
CTY100,AFG,2017,EN.ATM.CO2E.KT,1383
CTY100,AFG,2018,EN.ATM.CO2E.KT,62174
CTY100,AFG,2019,EN.ATM.CO2E.KT,61848
CTY101,ALB,2010,EN.ATM.CO2E.KT,30720
CTY101,ALB,2011,EN.ATM.CO2E.KT,24932
CTY101,ALB,2012,EN.ATM.CO2E.KT,9714
CTY101,ALB,2013,EN.ATM.CO2E.KT,33218
CTY101,ALB,2014,EN.ATM.CO2E.KT,2717
CTY101,ALB,2015,EN.ATM.CO2E.KT,35590
CTY101,ALB,2016,EN.ATM.CO2E.KT,47852
CTY101,ALB,2017,EN.ATM.CO2E.KT,12
CTY101,ALB,2018,EN.ATM.CO2E.KT,23909
CTY101,ALB,2019,EN.ATM.CO2E.KT,28299
CTY102,ALG,2010,EN.ATM.CO2E.KT,7831
CTY102,ALG,2011,EN.ATM.CO2E.KT,23545
CTY102,ALG,2012,EN.ATM.CO2E.KT,13144
CTY102,ALG,2013,EN.ATM.CO2E.KT,4982
CTY102,ALG,2014,EN.ATM.CO2E.KT,18656
CTY102,ALG,2015,EN.ATM.CO2E.KT,40323
CTY102,ALG,2016,EN.ATM.CO2E.KT,3851
CTY102,ALG,2017,EN.ATM.CO2E.KT,3840
CTY102,ALG,2018,EN.ATM.CO2E.KT,6731
CTY102,ALG,2019,EN.ATM.CO2E.KT,28412
CTY103,ANG,2010,EN.ATM.CO2E.KT,7994
CTY103,ANG,2011,EN.ATM.CO2E.KT,37852
CTY103,ANG,2012,EN.ATM.CO2E.KT,24347
CTY103,ANG,2013,EN.ATM.CO2E.KT,15768
CTY103,ANG,2014,EN.ATM.CO2E.KT,23226
CTY103,ANG,2015,EN.ATM.CO2E.KT,7775
CTY103,ANG,2016,EN.ATM.CO2E.KT,28697
CTY103,ANG,2017,EN.ATM.CO2E.KT,39592
CTY103,ANG,2018,EN.ATM.CO2E.KT,46778
CTY103,ANG,2019,EN.ATM.CO2E.KT,1796
CTY104,ARG,2010,EN.ATM.CO2E.KT,16229
CTY104,ARG,2011,EN.ATM.CO2E.KT,14075
CTY104,ARG,2012,EN.ATM.CO2E.KT,28782
CTY104,ARG,2013,EN.ATM.CO2E.KT,62247
CTY104,ARG,2014,EN.ATM.CO2E.KT,48994
CTY104,ARG,2015,EN.ATM.CO2E.KT,10577
CTY104,ARG,2016,EN.ATM.CO2E.KT,33561
CTY104,ARG,2017,EN.ATM.CO2E.KT,51358
CTY104,ARG,2018,EN.ATM.CO2E.KT,30208
CTY104,ARG,2019,EN.ATM.CO2E.KT,19882
CTY105,ARM,2010,EN.ATM.CO2E.KT,31150
CTY105,ARM,2011,EN.ATM.CO2E.KT,2418
CTY105,ARM,2012,EN.ATM.CO2E.KT,6067
CTY105,ARM,2013,EN.ATM.CO2E.KT,6600
CTY105,ARM,2014,EN.ATM.CO2E.KT,27676
CTY105,ARM,2015,EN.ATM.CO2E.KT,16714
CTY105,ARM,2016,EN.ATM.CO2E.KT,577
