country_code,iso3,year,indicator_code,value
CTY100,AFG,2010,SP.DYN.LE00.IN,88.6
CTY100,AFG,2011,SP.DYN.LE00.IN,72.1
CTY100,AFG,2012,SP.DYN.LE00.IN,85.6
CTY100,AFG,2013,SP.DYN.LE00.IN,72.5
CTY100,AFG,2014,SP.DYN.LE00.IN,69.5
CTY100,AFG,2015,SP.DYN.LE00.IN,67.8
CTY100,AFG,2016,SP.DYN.LE00.IN,79.1
CTY100,AFG,2017,SP.DYN.LE00.IN,79.8
CTY100,AFG,2018,SP.DYN.LE00.IN,73.6
CTY100,AFG,2019,SP.DYN.LE00.IN,76.8
CTY101,ALB,2010,SP.DYN.LE00.IN,62.3
CTY101,ALB,2011,SP.DYN.LE00.IN,60.7
CTY101,ALB,2012,SP.DYN.LE00.IN,77.5
CTY101,ALB,2013,SP.DYN.LE00.IN,69.2
CTY101,ALB,2014,SP.DYN.LE00.IN,74.5
CTY101,ALB,2015,SP.DYN.LE00.IN,65.7
CTY101,ALB,2016,SP.DYN.LE00.IN,79.9
CTY101,ALB,2017,SP.DYN.LE00.IN,60.8
CTY101,ALB,2018,SP.DYN.LE00.IN,61.7
CTY101,ALB,2019,SP.DYN.LE00.IN,78.7
CTY102,ALG,2010,SP.DYN.LE00.IN,54.3
CTY102,ALG,2011,SP.DYN.LE00.IN,72.3
CTY102,ALG,2012,SP.DYN.LE00.IN,69.4
CTY102,ALG,2013,SP.DYN.LE00.IN,65.6
CTY102,ALG,2014,SP.DYN.LE00.IN,68.8
CTY102,ALG,2015,SP.DYN.LE00.IN,64.9
CTY102,ALG,2016,SP.DYN.LE00.IN,79.3
CTY102,ALG,2017,SP.DYN.LE00.IN,80.8
CTY102,ALG,2018,SP.DYN.LE00.IN,65.9
CTY102,ALG,2019,SP.DYN.LE00.IN,71.7
CTY103,ANG,2010,SP.DYN.LE00.IN,62.0
CTY103,ANG,2011,SP.DYN.LE00.IN,76.4
CTY103,ANG,2012,SP.DYN.LE00.IN,76.3
CTY103,ANG,2013,SP.DYN.LE00.IN,68.2
CTY103,ANG,2014,SP.DYN.LE00.IN,70.1
CTY103,ANG,2015,SP.DYN.LE00.IN,69.4
CTY103,ANG,2016,SP.DYN.LE00.IN,60.3
CTY103,ANG,2017,SP.DYN.LE00.IN,79.3
CTY103,ANG,2018,SP.DYN.LE00.IN,65.4
CTY103,ANG,2019,SP.DYN.LE00.IN,65.4
CTY104,ARG,2010,SP.DYN.LE00.IN,69.1
CTY104,ARG,2011,SP.DYN.LE00.IN,76.0
CTY104,ARG,2012,SP.DYN.LE00.IN,66.5
CTY104,ARG,2013,SP.DYN.LE00.IN,58.3
CTY104,ARG,2014,SP.DYN.LE00.IN,64.7
CTY104,ARG,2015,SP.DYN.LE00.IN,72.5
CTY104,ARG,2016,SP.DYN.LE00.IN,83.1
CTY104,ARG,2017,SP.DYN.LE00.IN,62.4
CTY104,ARG,2018,SP.DYN.LE00.IN,62.2
CTY104,ARG,2019,SP.DYN.LE00.IN,60.9
CTY105,ARM,2010,SP.DYN.LE00.IN,60.2
CTY105,ARM,2011,SP.DYN.LE00.IN,77.2
CTY105,ARM,2012,SP.DYN.LE00.IN,79.0
CTY105,ARM,2013,SP.DYN.LE00.IN,71.1
CTY105,ARM,2014,SP.DYN.LE00.IN,67.2
CTY105,ARM,2015,SP.DYN.LE00.IN,80.7
CTY105,ARM,2016,SP.DYN.LE00.IN,71.0
CTY105,ARM,2017,SP.DYN.LE00.IN,76.5
CTY105,ARM,2018,SP.DYN.LE00.IN,66.9
CTY105,ARM,2019,SP.DYN.LE00.IN,70.3
CTY106,AUS,2010,SP.DYN.LE00.IN,62.6
CTY106,AUS,2011,SP.DYN.LE00.IN,73.8
CTY106,AUS,2012,SP.DYN.LE00.IN,71.1
CTY106,AUS,2013,SP.DYN.LE00.IN,64.6
CTY106,AUS,2014,SP.DYN.LE00.IN,64.7
CTY106,AUS,2015,SP.DYN.LE00.IN,79.7
CTY106,AUS,2016,SP.DYN.LE00.IN,81.8
CTY106,AUS,2017,SP.DYN.LE00.IN,68.7
CTY106,AUS,2018,SP.DYN.LE00.IN,70.4
CTY106,AUS,2019,SP.DYN.LE00.IN,72.4
CTY107,AUS,2010,SP.DYN.LE00.IN,70.9
CTY107,AUS,2011,SP.DYN.LE00.IN,60.0
CTY107,AUS,2012,SP.DYN.LE00.IN,72.6
CTY107,AUS,2013,SP.DYN.LE00.IN,57.5
CTY107,AUS,2014,SP.DYN.LE00.IN,65.6
CTY107,AUS,2015,SP.DYN.LE00.IN,73.0
CTY107,AUS,2016,SP.DYN.LE00.IN,73.6
CTY107,AUS,2017,SP.DYN.LE00.IN,65.1
CTY107,AUS,2018,SP.DYN.LE00.IN,67.2
CTY107,AUS,2019,SP.DYN.LE00.IN,66.4
CTY108,AZE,2010,SP.DYN.LE00.IN,69.4
CTY108,AZE,2011,SP.DYN.LE00.IN,69.8
CTY108,AZE,2012,SP.DYN.LE00.IN,74.0
CTY108,AZE,2013,SP.DYN.LE00.IN,66.9
CTY108,AZE,2014,SP.DYN.LE00.IN,72.2
CTY108,AZE,2015,SP.DYN.LE00.IN,73.0
CTY108,AZE,2016,SP.DYN.LE00.IN,71.2
CTY108,AZE,2017,SP.DYN.LE00.IN,68.4
CTY108,AZE,2018,SP.DYN.LE00.IN,71.1
CTY108,AZE,2019,SP.DYN.LE00.IN,74.5
CTY109,BAH,2010,SP.DYN.LE00.IN,75.0
CTY109,BAH,2011,SP.DYN.LE00.IN,80.9
CTY109,BAH,2012,SP.DYN.LE00.IN,64.1
CTY109,BAH,2013,SP.DYN.LE00.IN,67.4
CTY109,BAH,2014,SP.DYN.LE00.IN,60.3
CTY109,BAH,2015,SP.DYN.LE00.IN,75.6
CTY109,BAH,2016,SP.DYN.LE00.IN,68.0
CTY109,BAH,2017,SP.DYN.LE00.IN,71.2
CTY109,BAH,2018,SP.DYN.LE00.IN,66.4
CTY109,BAH,2019,SP.DYN.LE00.IN,68.0
CTY110,BAH,2010,SP.DYN.LE00.IN,77.3
CTY110,BAH,2011,SP.DYN.LE00.IN,74.2
CTY110,BAH,2012,SP.DYN.LE00.IN,69.3
CTY110,BAH,2013,SP.DYN.LE00.IN,74.6
CTY110,BAH,2014,SP.DYN.LE00.IN,74.7
CTY110,BAH,2015,SP.DYN.LE00.IN,67.7
CTY110,BAH,2016,SP.DYN.LE00.IN,61.2
CTY110,BAH,2017,SP.DYN.LE00.IN,64.6
CTY110,BAH,2018,SP.DYN.LE00.IN,62.0
CTY110,BAH,2019,SP.DYN.LE00.IN,77.0
CTY111,BAN,2010,SP.DYN.LE00.IN,78.0
CTY111,BAN,2011,SP.DYN.LE00.IN,79.5
CTY111,BAN,2012,SP.DYN.LE00.IN,57.9
CTY111,BAN,2013,SP.DYN.LE00.IN,76.4
CTY111,BAN,2014,SP.DYN.LE00.IN,83.3
CTY111,BAN,2015,SP.DYN.LE00.IN,76.7
CTY111,BAN,2016,SP.DYN.LE00.IN,57.1
CTY111,BAN,2017,SP.DYN.LE00.IN,80.6
CTY111,BAN,2018,SP.DYN.LE00.IN,70.3
CTY111,BAN,2019,SP.DYN.LE00.IN,68.6
CTY112,BAR,2010,SP.DYN.LE00.IN,72.7
CTY112,BAR,2011,SP.DYN.LE00.IN,63.7
CTY112,BAR,2012,SP.DYN.LE00.IN,70.0
CTY112,BAR,2013,SP.DYN.LE00.IN,79.7
CTY112,BAR,2014,SP.DYN.LE00.IN,73.7
CTY112,BAR,2015,SP.DYN.LE00.IN,70.4
CTY112,BAR,2016,SP.DYN.LE00.IN,70.5
CTY112,BAR,2017,SP.DYN.LE00.IN,62.9
CTY112,BAR,2018,SP.DYN.LE00.IN,69.1
CTY112,BAR,2019,SP.DYN.LE00.IN,60.2
CTY113,BEL,2010,SP.DYN.LE00.IN,76.1
CTY113,BEL,2011,SP.DYN.LE00.IN,56.9
CTY113,BEL,2012,SP.DYN.LE00.IN,75.1
