country_code,iso3,year,indicator_code,value
CTY100,AFG,2010,SP.POP.TOTL,26475819
CTY100,AFG,2011,SP.POP.TOTL,71269869
CTY100,AFG,2012,SP.POP.TOTL,49624790
CTY100,AFG,2013,SP.POP.TOTL,42926131
CTY100,AFG,2014,SP.POP.TOTL,20388546
CTY100,AFG,2015,SP.POP.TOTL,6270962
CTY100,AFG,2016,SP.POP.TOTL,14061110
CTY100,AFG,2017,SP.POP.TOTL,34304842
CTY100,AFG,2018,SP.POP.TOTL,31887402
CTY100,AFG,2019,SP.POP.TOTL,57251418
CTY101,ALB,2010,SP.POP.TOTL,82011320
CTY101,ALB,2011,SP.POP.TOTL,38348178
CTY101,ALB,2012,SP.POP.TOTL,22006466
CTY101,ALB,2013,SP.POP.TOTL,26889873
CTY101,ALB,2014,SP.POP.TOTL,2522572
CTY101,ALB,2015,SP.POP.TOTL,27827193
CTY101,ALB,2016,SP.POP.TOTL,17849778
CTY101,ALB,2017,SP.POP.TOTL,10714555
CTY101,ALB,2018,SP.POP.TOTL,58652190
CTY101,ALB,2019,SP.POP.TOTL,33935498
CTY102,ALG,2010,SP.POP.TOTL,3207740
CTY102,ALG,2011,SP.POP.TOTL,65150753
CTY102,ALG,2012,SP.POP.TOTL,4747821
CTY102,ALG,2013,SP.POP.TOTL,17255215
CTY102,ALG,2014,SP.POP.TOTL,25505354
CTY102,ALG,2015,SP.POP.TOTL,30594728
CTY102,ALG,2016,SP.POP.TOTL,35957506
CTY102,ALG,2017,SP.POP.TOTL,40890533
CTY102,ALG,2018,SP.POP.TOTL,35483741
CTY102,ALG,2019,SP.POP.TOTL,34264809
CTY103,ANG,2010,SP.POP.TOTL,2787385
CTY103,ANG,2011,SP.POP.TOTL,422328
CTY103,ANG,2012,SP.POP.TOTL,42270947
CTY103,ANG,2013,SP.POP.TOTL,27303695
CTY103,ANG,2014,SP.POP.TOTL,44607372
CTY103,ANG,2015,SP.POP.TOTL,31218314
CTY103,ANG,2016,SP.POP.TOTL,4976408
CTY103,ANG,2017,SP.POP.TOTL,77210567
CTY103,ANG,2018,SP.POP.TOTL,36575994
CTY103,ANG,2019,SP.POP.TOTL,28866513
CTY104,ARG,2010,SP.POP.TOTL,41237731
CTY104,ARG,2011,SP.POP.TOTL,86253515
CTY104,ARG,2012,SP.POP.TOTL,79941486
CTY104,ARG,2013,SP.POP.TOTL,27385622
CTY104,ARG,2014,SP.POP.TOTL,16315034
CTY104,ARG,2015,SP.POP.TOTL,28402319
CTY104,ARG,2016,SP.POP.TOTL,2413236
CTY104,ARG,2017,SP.POP.TOTL,21647578
CTY104,ARG,2018,SP.POP.TOTL,27260454
CTY104,ARG,2019,SP.POP.TOTL,25914362
CTY105,ARM,2010,SP.POP.TOTL,36020554
CTY105,ARM,2011,SP.POP.TOTL,2943741
CTY105,ARM,2012,SP.POP.TOTL,47485137
CTY105,ARM,2013,SP.POP.TOTL,52710887
CTY105,ARM,2014,SP.POP.TOTL,71174745
CTY105,ARM,2015,SP.POP.TOTL,19030092
CTY105,ARM,2016,SP.POP.TOTL,44844604
CTY105,ARM,2017,SP.POP.TOTL,50296848
CTY105,ARM,2018,SP.POP.TOTL,5094229
CTY105,ARM,2019,SP.POP.TOTL,31635346
CTY106,AUS,2010,SP.POP.TOTL,39761153
CTY106,AUS,2011,SP.POP.TOTL,7274728
CTY106,AUS,2012,SP.POP.TOTL,69262885
CTY106,AUS,2013,SP.POP.TOTL,18835631
CTY106,AUS,2014,SP.POP.TOTL,22611056
CTY106,AUS,2015,SP.POP.TOTL,8420241
CTY106,AUS,2016,SP.POP.TOTL,3382785
CTY106,AUS,2017,SP.POP.TOTL,45895438
CTY106,AUS,2018,SP.POP.TOTL,21654676
CTY106,AUS,2019,SP.POP.TOTL,95170676
CTY107,AUS,2010,SP.POP.TOTL,10558583
CTY107,AUS,2011,SP.POP.TOTL,109285907
CTY107,AUS,2012,SP.POP.TOTL,62427537
CTY107,AUS,2013,SP.POP.TOTL,5792336
CTY107,AUS,2014,SP.POP.TOTL,20817941
CTY107,AUS,2015,SP.POP.TOTL,15946990
CTY107,AUS,2016,SP.POP.TOTL,71184919
CTY107,AUS,2017,SP.POP.TOTL,35510471
CTY107,AUS,2018,SP.POP.TOTL,55459221
CTY107,AUS,2019,SP.POP.TOTL,30745155
CTY108,AZE,2010,SP.POP.TOTL,16640824
CTY108,AZE,2011,SP.POP.TOTL,29792700
CTY108,AZE,2012,SP.POP.TOTL,7791672
CTY108,AZE,2013,SP.POP.TOTL,23566121
CTY108,AZE,2014,SP.POP.TOTL,44410657
CTY108,AZE,2015,SP.POP.TOTL,25034933
CTY108,AZE,2016,SP.POP.TOTL,11934974
CTY108,AZE,2017,SP.POP.TOTL,6804071
CTY108,AZE,2018,SP.POP.TOTL,39300617
CTY108,AZE,2019,SP.POP.TOTL,66941137
CTY109,BAH,2010,SP.POP.TOTL,56149119
CTY109,BAH,2011,SP.POP.TOTL,40172750
CTY109,BAH,2012,SP.POP.TOTL,1103850
CTY109,BAH,2013,SP.POP.TOTL,14495925
CTY109,BAH,2014,SP.POP.TOTL,10121788
CTY109,BAH,2015,SP.POP.TOTL,5891556
CTY109,BAH,2016,SP.POP.TOTL,7926466
CTY109,BAH,2017,SP.POP.TOTL,7125858
CTY109,BAH,2018,SP.POP.TOTL,5797214
CTY109,BAH,2019,SP.POP.TOTL,48556490
CTY110,BAH,2010,SP.POP.TOTL,11639106
CTY110,BAH,2011,SP.POP.TOTL,1884223
CTY110,BAH,2012,SP.POP.TOTL,27502201
CTY110,BAH,2013,SP.POP.TOTL,62464484
CTY110,BAH,2014,SP.POP.TOTL,3895088
CTY110,BAH,2015,SP.POP.TOTL,39823256
CTY110,BAH,2016,SP.POP.TOTL,34259565
CTY110,BAH,2017,SP.POP.TOTL,59565158
CTY110,BAH,2018,SP.POP.TOTL,13699499
CTY110,BAH,2019,SP.POP.TOTL,8426193
CTY111,BAN,2010,SP.POP.TOTL,26672499
CTY111,BAN,2011,SP.POP.TOTL,63539069
CTY111,BAN,2012,SP.POP.TOTL,24840596
CTY111,BAN,2013,SP.POP.TOTL,43264177
CTY111,BAN,2014,SP.POP.TOTL,34150643
CTY111,BAN,2015,SP.POP.TOTL,25892929
CTY111,BAN,2016,SP.POP.TOTL,51164784
CTY111,BAN,2017,SP.POP.TOTL,946480
CTY111,BAN,2018,SP.POP.TOTL,7207104
CTY111,BAN,2019,SP.POP.TOTL,1618967
CTY112,BAR,2010,SP.POP.TOTL,22352267
CTY112,BAR,2011,SP.POP.TOTL,24541047
CTY112,BAR,2012,SP.POP.TOTL,18888922
CTY112,BAR,2013,SP.POP.TOTL,32883447
CTY112,BAR,2014,SP.POP.TOTL,53219716
CTY112,BAR,2015,SP.POP.TOTL,25278699
CTY112,BAR,2016,SP.POP.TOTL,20188854
CTY112,BAR,2017,SP.POP.TOTL,24466706
CTY112,BAR,2018,SP.POP.TOTL,11807748
CTY112,BAR,2019,SP.POP.TOTL,13538354
CTY113,BEL,2010,SP.POP.TOTL,20881108
CTY113,BEL,2011,SP.POP.TOTL,37337610
CTY113,BEL,2012,SP.POP.TOTL,2985104
CTY113,BEL,2013,SP.POP.TOTL,53866662
CTY113,BEL,2014,SP.POP.TOTL,87694520
CTY113,BEL,2015,SP.POP.TOTL,2792445
CTY113,BEL,2016,SP.POP.TOTL,52583165
CTY113,BEL,2017,SP.POP.TOTL,8162530
CTY113,BEL,2018,SP.POP.TOTL,29522071
CTY113,BEL,2019,SP.POP.TOTL,41028267
CTY114,BEL,2010,SP.POP.TOTL,27044422
CTY114,BEL,2011,SP.POP.TOTL,74540588
CTY114,BEL,2012,SP.POP.TOTL,26040354
CTY114,BEL,2013,SP.POP.TOTL,103880981
CTY114,BEL,2014,SP.POP.TOTL,67751519
CTY114,BEL,2015,SP.POP.TOTL,19462292
CTY114,BEL,2016,SP.POP.TOTL,11040866
CTY114,BEL,2017,SP.POP.TOTL,1474296
CTY114,BEL,2018,SP.POP.TOTL,23291979
CTY114,BEL,2019,SP.POP.TOTL,14481915
CTY115,BEL,2010,SP.POP.TOTL,35413862
CTY115,BEL,2011,SP.POP.TOTL,11169000
CTY115,BEL,2012,SP.POP.TOTL,62448910
CTY115,BEL,2013,SP.POP.TOTL,23751380
CTY115,BEL,2014,SP.POP.TOTL,12295489
CTY115,BEL,2015,SP.POP.TOTL,50728597
CTY115,BEL,2016,SP.POP.TOTL,28675708
CTY115,BEL,2017,SP.POP.TOTL,30229650
CTY115,BEL,2018,SP.POP.TOTL,20767140
CTY115,BEL,2019,SP.POP.TOTL,22325515
CTY116,BEN,2010,SP.POP.TOTL,31255098
CTY116,BEN,2011,SP.POP.TOTL,50310350
CTY116,BEN,2012,SP.POP.TOTL,48883720
CTY116,BEN,2013,SP.POP.TOTL,25176752
CTY116,BEN,2014,SP.POP.TOTL,71499733
CTY116,BEN,2015,SP.POP.TOTL,33229045
CTY116,BEN,2016,SP.POP.TOTL,57494159
CTY116,BEN,2017,SP.POP.TOTL,32609737
CTY116,BEN,2018,SP.POP.TOTL,11725713
CTY116,BEN,2019,SP.POP.TOTL,11725937
CTY117,BHU,2010,SP.POP.TOTL,1896912
CTY117,BHU,2011,SP.POP.TOTL,12286331
CTY117,BHU,2012,SP.POP.TOTL,60894593
CTY117,BHU,2013,SP.POP.TOTL,43097586
CTY117,BHU,2014,SP.POP.TOTL,29909572
CTY117,BHU,2015,SP.POP.TOTL,46100297
CTY117,BHU,2016,SP.POP.TOTL,35821511
CTY117,BHU,2017,SP.POP.TOTL,27858128
CTY117,BHU,2018,SP.POP.TOTL,24959782
CTY117,BHU,2019,SP.POP.TOTL,54174727
CTY118,BOL,2010,SP.POP.TOTL,6244644
