country_code,iso3,year,indicator_code,value
CTY100,AFG,2010,SI.POV.DDAY,8.9
CTY100,AFG,2011,SI.POV.DDAY,7.07
CTY100,AFG,2012,SI.POV.DDAY,4.6
CTY100,AFG,2013,SI.POV.DDAY,0.29
CTY100,AFG,2014,SI.POV.DDAY,20.38
CTY100,AFG,2015,SI.POV.DDAY,33.67
CTY100,AFG,2016,SI.POV.DDAY,14.53
CTY100,AFG,2017,SI.POV.DDAY,17.67
CTY100,AFG,2018,SI.POV.DDAY,21.44
CTY100,AFG,2019,SI.POV.DDAY,19.4
CTY101,ALB,2010,SI.POV.DDAY,4.84
CTY101,ALB,2011,SI.POV.DDAY,35.64
CTY101,ALB,2012,SI.POV.DDAY,5.91
CTY101,ALB,2013,SI.POV.DDAY,22.78
CTY101,ALB,2014,SI.POV.DDAY,21.36
CTY101,ALB,2015,SI.POV.DDAY,0.0
CTY101,ALB,2016,SI.POV.DDAY,10.69
CTY101,ALB,2017,SI.POV.DDAY,15.68
CTY101,ALB,2018,SI.POV.DDAY,16.6
CTY101,ALB,2019,SI.POV.DDAY,18.62
CTY102,ALG,2010,SI.POV.DDAY,24.09
CTY102,ALG,2011,SI.POV.DDAY,14.91
CTY102,ALG,2012,SI.POV.DDAY,19.26
CTY102,ALG,2013,SI.POV.DDAY,14.46
CTY102,ALG,2014,SI.POV.DDAY,2.79
CTY102,ALG,2015,SI.POV.DDAY,15.39
CTY102,ALG,2016,SI.POV.DDAY,23.99
CTY102,ALG,2017,SI.POV.DDAY,28.31
CTY102,ALG,2018,SI.POV.DDAY,21.45
CTY102,ALG,2019,SI.POV.DDAY,31.01
CTY103,ANG,2010,SI.POV.DDAY,20.03
CTY103,ANG,2011,SI.POV.DDAY,25.37
CTY103,ANG,2012,SI.POV.DDAY,26.25
CTY103,ANG,2013,SI.POV.DDAY,12.32
CTY103,ANG,2014,SI.POV.DDAY,23.71
CTY103,ANG,2015,SI.POV.DDAY,3.71
CTY103,ANG,2016,SI.POV.DDAY,19.2
CTY103,ANG,2017,SI.POV.DDAY,21.92
CTY103,ANG,2018,SI.POV.DDAY,27.61
CTY103,ANG,2019,SI.POV.DDAY,24.85
CTY104,ARG,2010,SI.POV.DDAY,27.77
CTY104,ARG,2011,SI.POV.DDAY,13.81
CTY104,ARG,2012,SI.POV.DDAY,10.86
CTY104,ARG,2013,SI.POV.DDAY,11.7
CTY104,ARG,2014,SI.POV.DDAY,18.2
CTY104,ARG,2015,SI.POV.DDAY,0.0
CTY104,ARG,2016,SI.POV.DDAY,30.98
CTY104,ARG,2017,SI.POV.DDAY,15.53
CTY104,ARG,2018,SI.POV.DDAY,10.02
CTY104,ARG,2019,SI.POV.DDAY,0.0
CTY105,ARM,2010,SI.POV.DDAY,14.56
CTY105,ARM,2011,SI.POV.DDAY,12.62
CTY105,ARM,2012,SI.POV.DDAY,4.24
CTY105,ARM,2013,SI.POV.DDAY,6.92
CTY105,ARM,2014,SI.POV.DDAY,14.68
CTY105,ARM,2015,SI.POV.DDAY,7.94
CTY105,ARM,2016,SI.POV.DDAY,21.86
CTY105,ARM,2017,SI.POV.DDAY,6.01
CTY105,ARM,2018,SI.POV.DDAY,16.86
CTY105,ARM,2019,SI.POV.DDAY,29.16
CTY106,AUS,2010,SI.POV.DDAY,14.56
CTY106,AUS,2011,SI.POV.DDAY,19.27
CTY106,AUS,2012,SI.POV.DDAY,18.51
CTY106,AUS,2013,SI.POV.DDAY,15.1
CTY106,AUS,2014,SI.POV.DDAY,14.2
CTY106,AUS,2015,SI.POV.DDAY,8.14
CTY106,AUS,2016,SI.POV.DDAY,16.81
CTY106,AUS,2017,SI.POV.DDAY,11.6
CTY106,AUS,2018,SI.POV.DDAY,33.55
CTY106,AUS,2019,SI.POV.DDAY,24.73
CTY107,AUS,2010,SI.POV.DDAY,0.0
CTY107,AUS,2011,SI.POV.DDAY,0.0
CTY107,AUS,2012,SI.POV.DDAY,13.43
CTY107,AUS,2013,SI.POV.DDAY,10.26
CTY107,AUS,2014,SI.POV.DDAY,12.8
CTY107,AUS,2015,SI.POV.DDAY,22.81
CTY107,AUS,2016,SI.POV.DDAY,18.79
CTY107,AUS,2017,SI.POV.DDAY,18.67
CTY107,AUS,2018,SI.POV.DDAY,32.35
CTY107,AUS,2019,SI.POV.DDAY,0.0
CTY108,AZE,2010,SI.POV.DDAY,16.25
CTY108,AZE,2011,SI.POV.DDAY,8.05
CTY108,AZE,2012,SI.POV.DDAY,32.23
CTY108,AZE,2013,SI.POV.DDAY,0.0
CTY108,AZE,2014,SI.POV.DDAY,0.0
CTY108,AZE,2015,SI.POV.DDAY,18.66
CTY108,AZE,2016,SI.POV.DDAY,28.52
CTY108,AZE,2017,SI.POV.DDAY,24.28
CTY108,AZE,2018,SI.POV.DDAY,5.39
CTY108,AZE,2019,SI.POV.DDAY,33.08
CTY109,BAH,2010,SI.POV.DDAY,0.22
CTY109,BAH,2011,SI.POV.DDAY,30.69
CTY109,BAH,2012,SI.POV.DDAY,1.81
CTY109,BAH,2013,SI.POV.DDAY,10.78
CTY109,BAH,2014,SI.POV.DDAY,22.67
CTY109,BAH,2015,SI.POV.DDAY,0.0
CTY109,BAH,2016,SI.POV.DDAY,32.63
CTY109,BAH,2017,SI.POV.DDAY,10.7
CTY109,BAH,2018,SI.POV.DDAY,16.65
CTY109,BAH,2019,SI.POV.DDAY,28.95
CTY110,BAH,2010,SI.POV.DDAY,5.48
CTY110,BAH,2011,SI.POV.DDAY,27.73
CTY110,BAH,2012,SI.POV.DDAY,34.69
CTY110,BAH,2013,SI.POV.DDAY,7.13
CTY110,BAH,2014,SI.POV.DDAY,31.43
CTY110,BAH,2015,SI.POV.DDAY,0.0
CTY110,BAH,2016,SI.POV.DDAY,19.68
CTY110,BAH,2017,SI.POV.DDAY,0.26
CTY110,BAH,2018,SI.POV.DDAY,26.31
CTY110,BAH,2019,SI.POV.DDAY,25.33
CTY111,BAN,2010,SI.POV.DDAY,39.93
CTY111,BAN,2011,SI.POV.DDAY,32.06
CTY111,BAN,2012,SI.POV.DDAY,13.01
CTY111,BAN,2013,SI.POV.DDAY,2.02
CTY111,BAN,2014,SI.POV.DDAY,21.79
CTY111,BAN,2015,SI.POV.DDAY,14.27
CTY111,BAN,2016,SI.POV.DDAY,33.61
CTY111,BAN,2017,SI.POV.DDAY,0.0
CTY111,BAN,2018,SI.POV.DDAY,41.26
CTY111,BAN,2019,SI.POV.DDAY,21.38
CTY112,BAR,2010,SI.POV.DDAY,5.24
CTY112,BAR,2011,SI.POV.DDAY,23.81
CTY112,BAR,2012,SI.POV.DDAY,30.57
CTY112,BAR,2013,SI.POV.DDAY,16.37
CTY112,BAR,2014,SI.POV.DDAY,0.0
CTY112,BAR,2015,SI.POV.DDAY,11.47
CTY112,BAR,2016,SI.POV.DDAY,27.47
CTY112,BAR,2017,SI.POV.DDAY,20.96
CTY112,BAR,2018,SI.POV.DDAY,13.12
CTY112,BAR,2019,SI.POV.DDAY,30.7
CTY113,BEL,2010,SI.POV.DDAY,23.87
CTY113,BEL,2011,SI.POV.DDAY,24.8
CTY113,BEL,2012,SI.POV.DDAY,10.07
CTY113,BEL,2013,SI.POV.DDAY,8.91
CTY113,BEL,2014,SI.POV.DDAY,0.0
CTY113,BEL,2015,SI.POV.DDAY,11.89
CTY113,BEL,2016,SI.POV.DDAY,26.22
CTY113,BEL,2017,SI.POV.DDAY,12.55
CTY113,BEL,2018,SI.POV.DDAY,20.35
CTY113,BEL,2019,SI.POV.DDAY,28.33
CTY114,BEL,2010,SI.POV.DDAY,19.47
CTY114,BEL,2011,SI.POV.DDAY,20.65
CTY114,BEL,2012,SI.POV.DDAY,0.0
CTY114,BEL,2013,SI.POV.DDAY,11.13
CTY114,BEL,2014,SI.POV.DDAY,35.72
CTY114,BEL,2015,SI.POV.DDAY,16.25
CTY114,BEL,2016,SI.POV.DDAY,37.76
CTY114,BEL,2017,SI.POV.DDAY,6.32
CTY114,BEL,2018,SI.POV.DDAY,17.81
CTY114,BEL,2019,SI.POV.DDAY,10.41
CTY115,BEL,2010,SI.POV.DDAY,22.1
CTY115,BEL,2011,SI.POV.DDAY,25.74
CTY115,BEL,2012,SI.POV.DDAY,22.23
CTY115,BEL,2013,SI.POV.DDAY,27.5
CTY115,BEL,2014,SI.POV.DDAY,14.84
CTY115,BEL,2015,SI.POV.DDAY,12.71
CTY115,BEL,2016,SI.POV.DDAY,0.0
CTY115,BEL,2017,SI.POV.DDAY,22.66
CTY115,BEL,2018,SI.POV.DDAY,17.07
CTY115,BEL,2019,SI.POV.DDAY,14.19
CTY116,BEN,2010,SI.POV.DDAY,12.71
CTY116,BEN,2011,SI.POV.DDAY,14.56
CTY116,BEN,2012,SI.POV.DDAY,12.17
CTY116,BEN,2013,SI.POV.DDAY,8.66
CTY116,BEN,2014,SI.POV.DDAY,17.88
CTY116,BEN,2015,SI.POV.DDAY,20.81
CTY116,BEN,2016,SI.POV.DDAY,5.75
CTY116,BEN,2017,SI.POV.DDAY,10.19
CTY116,BEN,2018,SI.POV.DDAY,12.54
CTY116,BEN,2019,SI.POV.DDAY,15.06
CTY117,BHU,2010,SI.POV.DDAY,13.46
CTY117,BHU,2011,SI.POV.DDAY,22.92
CTY117,BHU,2012,SI.POV.DDAY,0.0
CTY117,BHU,2013,SI.POV.DDAY,0.0
CTY117,BHU,2014,SI.POV.DDAY,17.32
CTY117,BHU,2015,SI.POV.DDAY,7.77
CTY117,BHU,2016,SI.POV.DDAY,25.61
CTY117,BHU,2017,SI.POV.DDAY,29.04
CTY117,BHU,2018,SI.POV.DDAY,17.8
CTY117,BHU,2019,SI.POV.DDAY,2.14
CTY118,BOL,2010,SI.POV.DDAY,27.66
CTY118,BOL,2011,SI.POV.DDAY,17.39
CTY118,BOL,2012,SI.POV.DDAY,0.0
CTY118,BOL,2013,SI.POV.DDAY,0.0
CTY118,BOL,2014,SI.POV.DDAY,33.2
CTY118,BOL,2015,SI.POV.DDAY,31.21
CTY118,BOL,2016,SI.POV.DDAY,0.0
CTY118,BOL,2017,SI.POV.DDAY,0.0
CTY118,BOL,2018,SI.POV.DDAY,28.69
CTY118,BOL,2019,SI.POV.DDAY,14.78
CTY119,BOS,2010,SI.POV.DDAY,23.42
CTY119,BOS,2011,SI.POV.DDAY,14.26
CTY119,BOS,2012,SI.POV.DDAY,22.85
CTY119,BOS,2013,SI.POV.DDAY,15.07
CTY119,BOS,2014,SI.POV.DDAY,9.75
CTY119,BOS,2015,SI.POV.DDAY,27.7
CTY119,BOS,2016,SI.POV.DDAY,17.42
CTY119,BOS,2017,SI.POV.DDAY,22.83
CTY119,BOS,2018,SI.POV.DDAY,16.89
CTY119,BOS,2019,SI.POV.DDAY,9.16
CTY120,BOT,2010,SI.POV.DDAY,34.3
CTY120,BOT,2011,SI.POV.DDAY,19.26
CTY120,BOT,2012,SI.POV.DDAY,10.74
