country_code,iso3,year,indicator_code,value
CTY100,AFG,2010,SE.PRM.ENRR,73.4
CTY100,AFG,2011,SE.PRM.ENRR,96.2
CTY100,AFG,2012,SE.PRM.ENRR,74.6
CTY100,AFG,2013,SE.PRM.ENRR,82.4
CTY100,AFG,2014,SE.PRM.ENRR,91.7
CTY100,AFG,2015,SE.PRM.ENRR,77.6
CTY100,AFG,2016,SE.PRM.ENRR,93.3
CTY100,AFG,2017,SE.PRM.ENRR,100.0
CTY100,AFG,2018,SE.PRM.ENRR,87.3
CTY100,AFG,2019,SE.PRM.ENRR,95.8
CTY101,ALB,2010,SE.PRM.ENRR,60.1
CTY101,ALB,2011,SE.PRM.ENRR,79.9
CTY101,ALB,2012,SE.PRM.ENRR,87.2
CTY101,ALB,2013,SE.PRM.ENRR,72.4
CTY101,ALB,2014,SE.PRM.ENRR,87.5
CTY101,ALB,2015,SE.PRM.ENRR,97.7
CTY101,ALB,2016,SE.PRM.ENRR,62.4
CTY101,ALB,2017,SE.PRM.ENRR,70.7
CTY101,ALB,2018,SE.PRM.ENRR,87.2
CTY101,ALB,2019,SE.PRM.ENRR,90.5
CTY102,ALG,2010,SE.PRM.ENRR,93.9
CTY102,ALG,2011,SE.PRM.ENRR,86.3
CTY102,ALG,2012,SE.PRM.ENRR,90.5
CTY102,ALG,2013,SE.PRM.ENRR,95.8
CTY102,ALG,2014,SE.PRM.ENRR,80.0
CTY102,ALG,2015,SE.PRM.ENRR,77.7
CTY102,ALG,2016,SE.PRM.ENRR,83.0
CTY102,ALG,2017,SE.PRM.ENRR,87.4
CTY102,ALG,2018,SE.PRM.ENRR,77.1
CTY102,ALG,2019,SE.PRM.ENRR,80.3
CTY103,ANG,2010,SE.PRM.ENRR,89.8
CTY103,ANG,2011,SE.PRM.ENRR,86.9
CTY103,ANG,2012,SE.PRM.ENRR,82.8
CTY103,ANG,2013,SE.PRM.ENRR,64.1
CTY103,ANG,2014,SE.PRM.ENRR,85.0
CTY103,ANG,2015,SE.PRM.ENRR,73.4
CTY103,ANG,2016,SE.PRM.ENRR,96.8
CTY103,ANG,2017,SE.PRM.ENRR,81.3
CTY103,ANG,2018,SE.PRM.ENRR,73.0
CTY103,ANG,2019,SE.PRM.ENRR,84.3
CTY104,ARG,2010,SE.PRM.ENRR,100.0
CTY104,ARG,2011,SE.PRM.ENRR,92.6
CTY104,ARG,2012,SE.PRM.ENRR,87.6
CTY104,ARG,2013,SE.PRM.ENRR,69.1
CTY104,ARG,2014,SE.PRM.ENRR,100.0
CTY104,ARG,2015,SE.PRM.ENRR,77.5
CTY104,ARG,2016,SE.PRM.ENRR,96.2
CTY104,ARG,2017,SE.PRM.ENRR,81.1
CTY104,ARG,2018,SE.PRM.ENRR,95.1
CTY104,ARG,2019,SE.PRM.ENRR,100.0
CTY105,ARM,2010,SE.PRM.ENRR,92.8
CTY105,ARM,2011,SE.PRM.ENRR,94.1
CTY105,ARM,2012,SE.PRM.ENRR,83.8
CTY105,ARM,2013,SE.PRM.ENRR,79.8
